workload,config,timestamp,avg_read_latency_0,controller_impl,domain_0_idle_turns,domain_0_reads,domain_0_turns_served,domain_0_writes,domain_1_idle_turns,domain_1_reads,domain_1_turns_served,domain_1_writes,domain_2_idle_turns,domain_2_reads,domain_2_turns_served,domain_2_writes,domain_3_idle_turns,domain_3_reads,domain_3_turns_served,domain_3_writes,flexprof_dyn_adaptation_events_0,flexprof_dyn_idle_turns_0,flexprof_dyn_read_turns_0,flexprof_dyn_total_turns_0,flexprof_dyn_write_turns_0,flexprof_static_idle_turns_0,flexprof_static_read_turns_0,flexprof_static_total_turns_0,flexprof_static_write_turns_0,memory_system_cycles,num_close_reqs,num_other_reqs_0,num_read_reqs_0,num_write_reqs_0,priority_queue_len_0,priority_queue_len_avg_0,queue_len_0,queue_len_avg_0,read_latency_0,read_queue_len_0,read_queue_len_avg_0,read_row_conflicts_0,read_row_conflicts_core_0,read_row_conflicts_core_1,read_row_conflicts_core_2,read_row_conflicts_core_3,read_row_conflicts_core_4,read_row_conflicts_core_5,read_row_conflicts_core_6,read_row_conflicts_core_7,read_row_hits_0,read_row_hits_core_0,read_row_hits_core_1,read_row_hits_core_2,read_row_hits_core_3,read_row_hits_core_4,read_row_hits_core_5,read_row_hits_core_6,read_row_hits_core_7,read_row_misses_0,read_row_misses_core_0,read_row_misses_core_1,read_row_misses_core_2,read_row_misses_core_3,read_row_misses_core_4,read_row_misses_core_5,read_row_misses_core_6,read_row_misses_core_7,row_conflicts_0,row_hits_0,row_misses_0,total_num_other_requests,total_num_read_requests,total_num_write_requests,total_read_latency_0,trace_num_domains,trace_total_entries,write_queue_len_0,write_queue_len_avg_0,write_row_conflicts_0,write_row_hits_0,write_row_misses_0
write_heavy_domain0,dynamic,20260128_004202,,FlexProfDynamic,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,1,32,,,,,
write_heavy_domain0,static,20260128_004202,,FlexProfStatic,,3,1,29,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,1,32,,,,,
write_heavy_domain1,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,0,0,6,0,3,29,,2,32,131,10.916667,0,0,6
write_heavy_domain1,dynamic,20260128_010656,,FlexProfDynamic,0,0,1,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,2,32,,,,,
write_heavy_domain1,static,20260128_010656,,FlexProfStatic,,0,1,0,,3,0,29,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,2,32,,,,,
write_heavy_domain2,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,6,0,3,29,,3,32,131,10.916667,0,0,6
write_heavy_domain2,dynamic,20260128_004202,,FlexProfDynamic,0,0,1,0,0,0,0,0,0,3,0,29,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,3,32,,,,,
write_heavy_domain2,static,20260128_004202,,FlexProfStatic,,0,1,0,,0,0,0,,3,0,29,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,3,32,,,,,
write_heavy_domain3,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,0,0,,,,,0,0,0,0,0,,,,,0,0,0,0,0,,,,,0,0,6,0,3,29,,4,32,131,10.916667,0,0,6
write_heavy_domain3,dynamic,20260128_010656,,FlexProfDynamic,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,4,32,,,,,
write_heavy_domain3,static,20260128_004202,,FlexProfStatic,,0,1,0,,0,0,0,,0,0,0,,3,0,29,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,4,32,,,,,
write_heavy_domain4,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,6,0,3,29,,5,32,131,10.916667,0,0,6
write_heavy_domain4,dynamic,20260128_004202,,FlexProfDynamic,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,5,32,,,,,
write_heavy_domain4,static,20260128_010656,,FlexProfStatic,,3,1,29,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,5,32,,,,,
write_heavy_domain5,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,6,0,3,29,,6,32,131,10.916667,0,0,6
write_heavy_domain5,dynamic,20260128_010656,,FlexProfDynamic,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,6,32,,,,,
write_heavy_domain5,static,20260128_004202,,FlexProfStatic,,3,1,29,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,6,32,,,,,
write_heavy_domain6,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,6,0,3,29,,7,32,131,10.916667,0,0,6
write_heavy_domain6,dynamic,20260128_010656,,FlexProfDynamic,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,7,32,,,,,
write_heavy_domain6,static,20260128_010656,,FlexProfStatic,,3,1,29,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,7,32,,,,,
write_heavy_domain7,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,3,29,0,0,145,12.083333,0,14,1.16666663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,29,,8,32,131,10.916667,0,0,6
write_heavy_domain7,dynamic,20260128_010656,,FlexProfDynamic,0,3,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,8,32,,,,,
write_heavy_domain7,static,20260128_004202,,FlexProfStatic,,3,1,29,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,29,0,8,32,,,,,
